,language,value,year
0,Javascript,54.4,2015.0
0,SQL,48.0,2015.0
0,Java,37.4,2015.0
0,C#,31.6,2015.0
0,PHP,29.7,2015.0
0,Python,23.8,2015.0
0,C++,20.6,2015.0
0,C,16.4,2015.0
0,Node.js,13.3,2015.0
0,AngularJS,13.3,2015.0
0,Ruby,8.0,2015.0
0,Objective-C,7.8,2015.0
0,JavaScript,55.4,2016.0
0,SQL (or SQL Server),49.1,2016.0
0,Java,36.3,2016.0
0,C#,30.9,2016.0
0,PHP,25.9,2016.0
0,Python,24.9,2016.0
0,C++,19.4,2016.0
0,C,15.5,2016.0
0,Node.js,17.2,2016.0
0,AngularJS,17.9,2016.0
0,Ruby,8.9,2016.0
0,Objective-C,6.5,2016.0
0,JavaScript,62.5,2017.0
0,SQL,51.2,2017.0
0,Java,39.7,2017.0
0,C#,34.1,2017.0
0,Python,32.0,2017.0
0,PHP,28.1,2017.0
0,C++,22.3,2017.0
0,C,19.0,2017.0
0,TypeScript,9.5,2017.0
0,Ruby,9.1,2017.0
0,Swift,6.5,2017.0
0,Objective-C,6.4,2017.0
0,VB.NET,6.2,2017.0
0,Assembly,5.0,2017.0
0,R,4.5,2017.0
0,Perl,4.3,2017.0
0,VBA,4.3,2017.0
0,Matlab,4.3,2017.0
0,Go,4.3,2017.0
0,Scala,3.6,2017.0
0,Groovy,3.3,2017.0
0,CoffeeScript,3.3,2017.0
0,Visual Basic 6,2.9,2017.0
0,Lua,2.8,2017.0
0,Haskell,1.8,2017.0
0,JavaScript,69.8,2018.0
0,HTML,68.5,2018.0
0,CSS,65.1,2018.0
0,SQL,57.0,2018.0
0,Java,45.3,2018.0
0,Bash/Shell,39.8,2018.0
0,Python,38.8,2018.0
0,C#,34.4,2018.0
0,PHP,30.7,2018.0
0,C++,25.4,2018.0
0,C,23.0,2018.0
0,TypeScript,17.4,2018.0
0,Ruby,10.1,2018.0
0,Swift,8.1,2018.0
0,Assembly,7.4,2018.0
0,Go,7.1,2018.0
0,Objective-C,7.0,2018.0
0,VB.NET,6.7,2018.0
0,R,6.1,2018.0
0,Matlab,5.8,2018.0
0,VBA,4.9,2018.0
0,Kotlin,4.5,2018.0
0,Scala,4.4,2018.0
0,Groovy,4.3,2018.0
0,Perl,4.2,2018.0
0,JavaScript,67.8,2019.0
0,HTML/CSS,63.5,2019.0
0,SQL,54.4,2019.0
0,Python,41.7,2019.0
0,Java,41.1,2019.0
0,Bash/Shell/PowerShell,36.6,2019.0
0,C#,31.0,2019.0
0,PHP,26.4,2019.0
0,C++,23.5,2019.0
0,TypeScript,21.2,2019.0
0,C,20.6,2019.0
0,Ruby,8.4,2019.0
0,Go,8.2,2019.0
0,Assembly,6.7,2019.0
0,Swift,6.6,2019.0
0,Kotlin,6.4,2019.0
0,R,5.8,2019.0
0,VBA,5.5,2019.0
0,Objective-C,4.8,2019.0
0,Scala,3.8,2019.0
0,Rust,3.2,2019.0
0,Dart,1.9,2019.0
0,Elixir,1.4,2019.0
0,Clojure,1.4,2019.0
0,WebAssembly,1.2,2019.0
